MAG	AHKs	AI	AI_2	DSF	HSLs	PQS	Unclassified	cdiGMP
MAG290	0	3	4	3	7	0	1	13
MAG291	0	7	2	4	7	0	0	1
MAG292	0	2	0	3	4	0	2	11
MAG293	0	0	0	1	1	1	2	0
MAG294	0	0	1	0	0	0	0	1
MAG295	0	0	0	5	5	0	0	9
MAG296	0	1	2	2	3	0	3	33
MAG297	0	3	0	3	4	1	3	14
MAG298	0	7	14	11	17	0	4	45
MAG299	0	2	1	4	5	0	1	17
MAG300	0	0	2	8	9	0	0	22
MAG301	0	1	1	3	5	0	0	20
MAG302	0	1	1	4	6	0	0	3
MAG303	0	4	0	8	17	0	1	1
MAG304	0	4	2	2	9	0	1	25
MAG305	1	8	2	13	16	1	0	12
MAG306	0	2	21	8	5	0	3	63
MAG307	0	3	2	11	7	0	0	11
MAG308	0	1	0	8	8	0	0	13
MAG309	0	6	4	18	7	1	0	11
MAG310	0	1	2	0	2	0	0	4
MAG311	0	0	2	4	4	0	1	10
MAG312	0	9	0	19	43	1	3	26
MAG313	0	5	4	18	9	0	1	13
MAG314	1	14	0	11	26	0	1	24
MAG315	0	2	0	5	2	0	1	17
MAG316	0	1	3	1	0	0	0	1
MAG317	0	3	4	11	5	0	0	11
MAG318	0	6	4	3	7	0	4	14
MAG319	0	1	4	3	8	0	2	13
MAG320	0	2	0	2	1	1	0	2
MAG321	0	2	0	5	7	0	3	28
MAG323	0	3	7	3	3	0	0	23
MAG324	0	2	9	4	7	0	1	38
MAG325	0	4	0	4	15	1	0	20
MAG326	0	1	1	0	0	0	2	0
MAG327	0	9	2	2	7	0	0	8
MAG328	0	5	4	5	8	0	8	32
MAG329	0	1	2	1	0	0	1	13
MAG330	0	3	2	3	14	0	1	35
MAG331	0	0	0	1	3	0	1	2
MAG332	0	5	0	2	3	0	0	2
MAG333	2	4	6	4	3	0	0	6
MAG334	0	3	1	1	15	0	0	6
MAG335	0	3	14	14	15	0	2	30
MAG336	0	2	4	5	8	0	0	30
MAG337	0	2	0	2	6	0	0	4
MAG338	0	3	1	6	8	0	0	5
MAG339	0	8	11	7	13	1	4	16
MAG340	0	3	5	1	3	1	1	13
MAG341	0	4	1	2	10	0	1	4
MAG342	0	0	0	1	13	0	1	4
MAG343	0	1	1	2	12	0	1	25
MAG344	0	2	1	3	8	0	0	28
MAG345	0	1	1	4	7	0	1	29
MAG346	0	2	7	3	3	0	1	21
MAG347	0	1	0	1	8	0	2	2
MAG348	0	1	1	1	0	0	1	0
MAG349	0	1	2	2	2	0	2	12
MAG350	0	1	0	1	15	0	3	3
MAG351	0	1	0	0	0	0	0	1
MAG352	0	4	0	2	5	0	1	7
MAG353	0	5	13	5	6	0	1	37
MAG354	0	0	0	0	2	0	1	1
MAG355	0	1	11	3	11	0	3	19
MAG356	0	2	7	2	4	0	0	17
MAG357	0	4	1	18	15	2	1	28
MAG358	0	12	3	13	31	0	2	43
MAG359	0	5	5	6	14	0	5	37
MAG360	0	2	0	3	6	0	0	4
MAG361	0	2	1	3	5	1	1	7
MAG362	0	10	6	9	5	1	2	14
MAG363	0	2	5	7	4	0	0	13
MAG364	0	2	1	9	7	0	2	6
MAG365	0	1	8	6	5	0	1	29
MAG366	0	11	3	9	16	0	1	6
MAG367	0	4	0	4	6	2	0	14
MAG368	0	2	7	0	0	1	0	4
MAG369	0	5	0	2	10	0	0	2
MAG370	0	1	0	5	13	0	1	10
MAG371	0	1	3	1	3	0	1	24
MAG372	0	3	3	3	5	0	3	38
MAG373	0	2	19	5	9	0	1	20
MAG374	0	6	1	4	12	0	0	8
MAG375	0	1	1	3	6	0	0	9
MAG376	0	10	2	3	13	1	0	6
MAG377	0	5	2	2	5	0	3	26
MAG378	0	7	0	4	11	0	1	1
MAG379	0	4	14	2	5	0	2	50
MAG380	0	10	3	5	16	1	0	4
MAG381	0	4	1	2	7	0	1	2
MAG382	0	5	1	2	3	0	0	6
MAG383	0	0	0	0	0	0	0	2
MAG384	0	2	6	0	7	0	1	26
MAG385	0	2	0	2	3	0	0	1
MAG386	0	4	2	3	10	0	1	23
MAG387	0	3	1	2	1	0	2	24
MAG388	0	2	0	2	11	0	1	2
MAG389	0	3	3	0	4	0	2	34
MAG390	0	3	1	11	21	0	1	16
MAG391	0	1	0	1	7	0	2	3
MAG392	0	3	0	1	3	0	1	4
MAG393	0	1	2	6	4	1	1	9
MAG394	0	10	3	11	18	1	3	8
MAG395	0	0	1	1	2	0	1	11
MAG396	0	1	4	6	0	0	1	3
MAG397	0	4	1	5	11	0	0	13
MAG398	0	3	2	4	4	1	1	8
MAG399	0	2	5	9	8	0	1	14
MAG400	0	2	0	1	10	0	1	2
MAG401	0	1	0	1	4	0	2	2
MAG402	0	3	3	9	7	0	3	12
MAG403	0	6	12	4	2	0	0	23
MAG404	0	0	3	0	6	0	1	15
MAG405	0	11	4	12	8	0	2	16
MAG406	0	6	18	12	10	0	4	28
MAG407	0	12	2	6	14	1	0	9
MAG408	0	3	0	1	12	0	1	4
MAG409	0	13	0	3	9	0	0	7
MAG410	0	2	9	2	6	0	2	41
MAG411	0	8	5	14	11	1	1	21
MAG412	0	3	3	8	10	1	0	10
MAG413	0	1	0	0	0	0	0	1
MAG414	0	7	17	13	10	0	3	59
MAG415	1	2	4	2	6	0	4	28
MAG416	0	21	34	17	17	0	9	63
MAG417	0	0	12	5	9	0	3	13
MAG418	0	0	7	5	7	1	1	6
MAG419	0	1	2	9	4	0	1	10
MAG420	0	6	9	3	6	0	2	13
MAG421	0	9	5	6	4	0	4	10
MAG422	0	19	46	20	29	0	7	95
MAG423	0	3	1	3	7	0	1	7
MAG424	0	2	0	2	11	0	1	6
MAG425	0	2	0	2	15	1	1	7
MAG426	0	2	5	7	4	0	0	9
MAG427	0	3	0	1	3	0	1	3
MAG428	0	5	10	7	2	0	5	8
MAG429	0	1	0	1	0	0	2	1
MAG430	0	7	36	14	20	1	2	18
MAG431	0	9	24	27	30	0	3	80
MAG432	0	3	3	5	10	0	1	11
MAG433	0	6	2	5	4	0	2	5
MAG434	0	3	11	6	3	0	4	11
MAG435	0	3	4	4	4	0	0	7
MAG436	0	2	3	0	3	0	0	8
MAG437	0	2	2	0	0	0	1	5
MAG438	0	3	0	5	45	0	1	8
MAG439	0	2	8	2	5	0	3	26
MAG440	0	2	0	2	12	0	1	1
MAG441	0	0	0	1	11	0	1	0
MAG442	0	4	13	3	6	0	0	15
MAG443	0	3	1	5	8	0	2	4
MAG444	0	4	1	3	7	0	1	6
MAG445	0	1	1	0	6	0	1	10
MAG446	0	3	6	1	2	0	1	7
MAG447	0	2	9	2	3	0	1	21
MAG448	0	1	4	3	3	0	3	5
MAG449	0	4	0	2	2	0	1	14
MAG450	0	0	3	1	5	0	1	3
MAG451	0	3	2	0	7	0	2	10
MAG452	1	1	18	5	5	0	4	22
MAG453	0	1	4	3	5	0	0	6
MAG454	0	7	1	6	4	1	1	13
MAG455	0	1	0	0	0	0	0	1
MAG456	0	1	0	0	0	0	0	1
MAG457	0	2	0	0	1	0	1	6
MAG458	0	2	1	2	2	0	0	6
MAG459	0	3	1	1	4	0	1	6
MAG460	0	2	1	0	3	0	0	9
MAG461	0	5	4	3	2	0	1	4
MAG462	0	3	5	2	5	0	1	24
MAG463	0	6	0	7	6	1	0	13
MAG464	0	0	0	3	2	0	1	4
MAG465	0	2	5	4	6	0	0	34
MAG466	0	0	5	0	1	1	0	4
MAG467	0	4	5	5	2	0	2	4
MAG469	0	5	3	8	3	0	1	14
MAG470	0	5	3	5	7	1	0	7
MAG471	0	2	0	1	16	0	1	3
MAG472	0	1	0	0	0	0	0	1
MAG473	0	2	6	3	10	0	0	29
MAG474	0	4	11	6	5	0	4	50
MAG475	0	5	1	13	24	1	1	33
MAG476	0	2	6	4	4	0	0	9
MAG477	0	3	3	5	2	0	1	19
MAG478	0	6	2	8	19	0	3	20
MAG479	0	1	0	2	4	0	0	7
MAG480	0	3	4	3	5	0	4	21
MAG481	0	0	0	0	0	0	0	1
MAG482	0	3	3	1	6	0	2	1
MAG483	0	2	4	3	6	0	1	6
MAG484	0	0	0	1	6	0	1	3
MAG485	0	3	7	1	7	0	1	31
MAG486	0	2	0	1	1	0	0	7
MAG487	0	3	0	3	30	0	1	3
MAG488	0	1	2	2	7	0	0	6
MAG489	0	1	0	2	1	0	1	3
MAG490	0	1	0	1	12	0	1	1
MAG491	0	0	6	0	2	0	1	5
MAG492	0	4	3	3	7	0	1	4
MAG493	0	0	1	0	0	0	1	10
MAG494	0	0	0	0	2	0	0	1
MAG495	0	2	2	3	5	0	0	6
MAG496	0	0	2	0	1	0	0	8
MAG497	0	2	3	2	1	0	0	5
MAG498	0	2	1	2	10	0	2	7
MAG499	0	0	5	1	7	0	0	5
MAG500	0	5	12	1	3	0	1	29
MAG501	0	4	0	7	24	0	1	9
MAG502	0	3	2	4	5	0	1	7
MAG503	0	4	10	2	4	0	1	13
MAG504	0	0	0	0	0	0	0	2
MAG505	0	4	1	4	18	0	2	9
MAG506	0	3	7	1	5	0	1	25
MAG507	0	2	1	3	15	0	1	10
MAG508	1	1	3	3	5	0	1	10
MAG509	0	3	1	4	13	0	0	8
MAG510	0	1	0	0	0	0	1	1
MAG511	0	2	2	2	2	0	1	6
MAG512	0	1	0	3	15	0	1	3
MAG513	0	1	0	0	0	0	0	1
MAG514	0	0	3	2	3	0	0	5
MAG515	0	1	0	0	0	0	1	2
MAG516	0	1	4	3	1	0	2	5
MAG517	0	1	4	1	7	0	0	9
MAG518	0	3	21	1	5	0	1	14
MAG519	0	2	2	4	10	0	2	2
MAG520	0	4	1	1	6	0	1	7
MAG521	0	0	0	0	0	0	0	1
MAG522	0	1	0	3	15	0	2	2
MAG523	0	5	0	3	20	0	1	8
MAG524	0	1	0	0	0	0	1	0
MAG525	0	0	0	0	0	0	0	1
MAG526	0	8	2	8	8	0	1	11
MAG527	0	3	9	9	7	0	0	10
MAG528	0	1	6	1	3	0	0	7
MAG529	0	1	0	1	3	0	3	3
MAG530	0	6	4	8	7	0	0	10
MAG531	0	4	4	4	7	0	0	9
MAG532	0	2	7	4	4	0	1	19
MAG533	0	4	4	6	2	0	3	11
MAG534	0	3	2	3	3	0	1	5
MAG535	0	7	0	2	13	0	2	10
MAG536	0	2	2	4	11	0	4	6
MAG537	0	2	1	7	4	0	1	10
MAG538	0	4	12	8	2	0	1	53
MAG539	0	2	0	2	15	0	1	9
MAG540	0	3	1	4	14	0	1	7
MAG541	0	6	4	7	7	0	0	26
MAG542	0	2	0	2	9	0	0	4
MAG543	0	3	0	2	17	0	2	2
MAG544	0	5	5	9	6	0	3	7
MAG545	0	1	0	2	5	0	2	9
MAG546	0	2	12	3	5	0	1	22
MAG547	0	2	11	5	2	0	1	26
MAG548	0	5	13	8	7	0	6	39
MAG549	0	1	5	5	3	0	2	25
MAG550	0	0	6	4	6	0	2	13
MAG551	0	4	6	13	15	0	0	24
MAG552	0	3	3	5	5	0	1	10
MAG553	0	3	2	9	9	0	2	22
MAG554	0	2	2	3	8	0	1	24
MAG555	0	5	11	2	4	0	2	41
MAG556	0	3	2	4	6	0	0	1
MAG557	0	0	1	3	4	0	0	9
MAG558	0	3	5	4	4	0	3	34
MAG559	0	8	3	3	5	1	0	19
MAG560	1	4	13	5	9	0	2	42
MAG561	0	12	9	6	7	0	0	18
MAG562	0	2	3	9	13	0	2	30
MAG563	0	9	0	8	18	0	0	14
MAG564	0	3	8	5	5	0	1	35
MAG565	0	3	1	1	15	0	1	3
